"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","url","stimulus","response","phase","type","word","correct_choice","problem","correct","image_set","selected_image","answer_key","distractors","correct_answers","incorrect_answers","false_alarms","missed_answers","miss_rate","accuracy"
"true","2990","fullscreen","0","null","4014","poyd49myhw9","","","","","","","","","","","","","","","","","","",""
"","4253","external-html","1","2.1.0","8471","poyd49myhw9","consent.html","","","","","","","","","","","","","","","","","",""
"","22814","html-button-response","2","2.1.0","31296","poyd49myhw9","","
                <h2>Welcome to our study!</h2>
                <p><strong>Please read the following instructions carefully:</strong></p>
                <div style=""text-align: left; max-width: 800px;"">
                    <p>In this study, you will complete a brief baseline evaluation about your music habits, genre preferences, study routines, and motivation levels.</p>
                    <p>Next, you will be presented with a series of words in the center of your screen. Please pay close attention and try to learn as many words as possible, as you will later be tested on your memory of them.</p>
                    <p>Between learning phases, you will complete short activities designed to keep you engaged. These tasks are not part of the retention test, but they are important for the study.</p>
                    <p>You will repeat this process under different audio conditions to explore how music affects learning and retention.</p>
                </div>
                <hr />
                <p><em>Stay focused, and do your best!</em></p>
            ","0","","","","","","","","","","","","","","","",""
"","87641","survey","3","2.1.0","119004","poyd49myhw9","","","{""baseline-race"":[""Hispanic, Latino, or Spanish Origin"",""White"",""Multiethnic"",""other""],""baseline-race-Comment"":""Basque"",""baseline-age"":21,""baseline-listen-frequency"":""Always"",""baseline-listening-device"":""Over-ear headphones"",""baseline-music-type"":[""Classical"",""Jazz"",""Lo-fi / Chillhop"",""Ambient / New Age"",""Pop"",""Rock"",""R&B / Soul"",""Hip-Hop / Rap"",""Electronic / EDM"",""Reggae"",""Latin / Reggaeton"",""K-Pop / J-Pop"",""Nature Sounds / White Noise"",""other""],""baseline-music-type-Comment"":""Everything, depends on what I’m currently liking"",""baseline-study-hours"":""2-3"",""baseline-study-location"":[""Home""],""baseline-study-motivation"":2}","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","122007","poyd49myhw9","","
                <h2>Thank you!</h2>
                <p>Your baseline evaluation responses have been recorded.</p>
                <p><strong>You will now be taken to the learning task.</strong></p>
            ","null","","","","","","","","","","","","","","","",""
"","11698","html-button-response","5","2.1.0","133742","poyd49myhw9","","
                <h2>Adjust your volume</h2>
                <p>Before continuing, please adjust your volume using the audio player below.</p>
                <div><audio id=""audio_test"" controls controlsList = ""noplaybackrate nodownload"" src=""audio/test.wav""></audio></div>
            ","0","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","2.0.0","143746","poyd49myhw9","","<p>Starting trial with upbeat instrumental music.</p>
                  <p><strong>Please pay attention to the words in the center of your screen.</strong></p>
                  <p><em>The trial will begin in a few seconds.</em></p>","null","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","2.0.0","144251","poyd49myhw9","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","2.0.0","145255","poyd49myhw9","","<p style=""font-size: 32px;"">apple</p>","null","upbeat_instrumental","word","apple","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","145759","poyd49myhw9","","<p style=""font-size: 40px;"">+</p>","null","upbeat_instrumental","fixation","","","","","","","","","","","","","",""
